Titulo,Orgao,Tipos de Atendimento,Solicitação pela Internet,Entidade,Secretaria,Tipo,Forma Solicitação,Tipo Sistema,Observações
Denúncia de Crimes Ambientais - Fiscalização,Secretaria de Meio Ambiente e Proteção Animal,"Online, Presencial, Telefone",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Colab,Terceirizado,
Trânsito: Manutenção em Lombada,Secretaria de Mobilidade e Trânsito,"Online, Presencial",,Prefeitura,Mobilidade e Trânsito,Serviço,Colab,Terceirizado,
Iluminação Pública: Instalação de Poste,Secretaria de Obras e Infraestrutura,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Obras e Infraestrutura,Serviço,Colab,Terceirizado,
Iluminação Pública: Remoção de Poste,Secretaria de Obras e Infraestrutura,"Online, Presencial, Telefone",http://servicossmar.mogidascruzes.sp.gov.br/portalcidadao/#!/login,Prefeitura,Obras e Infraestrutura,Serviço,Colab,Terceirizado,Corrigir
Iluminação Pública: Instalação de Luminárias,Secretaria de Obras e Infraestrutura,"Presencial, Telefone",,Prefeitura,Obras e Infraestrutura,Serviço,Colab,Terceirizado,Atualizar
Inspeção da Vigilância Sanitária,Secretaria de Saúde e Bem-Estar,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Denúncia de Foco de Proliferação do Aedes Aegypti,Secretaria de Saúde e Bem-Estar,"Online, Presencial, Telefone",https://www.mogidascruzes.sp.gov.br/fale-conosco,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,Atualizar
Desinsetização,Secretaria de Saúde e Bem-Estar,"Online, Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Ocorrências de Escorpiões,Secretaria de Saúde e Bem-Estar,"Online, Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Proliferação caramujo africano,Secretaria de Saúde e Bem-Estar,"Online, Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Controle de Animais Peçonhentos,Secretaria de Saúde e Bem-Estar,"Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Desratização,Secretaria de Saúde e Bem-Estar,"Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Recolhimento de Animais Silvestres de Interesse à saúde pública,Secretaria de Saúde e Bem-Estar,"Presencial, Telefone",,Prefeitura,Saúde e Bem-Estar,Serviço,Colab,Terceirizado,
Vistoria em Árvore com Risco de Queda,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Calçadas,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/fale-conosco,Prefeitura,Segurança,Serviço,Colab,Terceirizado,Corrigir: Colab
Vistoria em Imóveis Danificados,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Local de Área de Risco de Deslizamento,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Local de Enchentes,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Local de Incêndio,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Local de Queda de Árvore,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Local de Vazamento de Produto Químico,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Poço Aberto,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Vistoria em Ponte ou Passarela com Risco de Queda,Secretaria de Segurança,"Online, Presencial",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Segurança,Serviço,Colab,Terceirizado,
Estudos para implantação de Equipamento para Captação de Águas Pluviais,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Implantação ou Manutenção de Guias e Sarjetas,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Implantação ou Manutenção de Lixeiras,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Limpeza de Terrenos Municipais,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Limpeza de Valetas e Córregos,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Manutenção de Calçadas Públicas,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Manutenção de Jardins e Canteiros,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
"Manutenção ou Limpeza de Bueiros, Bocas de Lobo e Galerias",Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Nivelamento e Cascalhamento,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Pavimentação de Vias,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Tapa Buraco,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Varrição de Ruas,Secretaria de Serviços Urbanos e Zeladoria,"Online, Presencial, Telefone",https://bit.ly/colabmogi,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Avaliação de poda ou corte de árvores em fio de alta tensão,Secretaria de Serviços Urbanos e Zeladoria,"Online, Telefone",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Solicitação de poda de árvores em área pública,Secretaria de Serviços Urbanos e Zeladoria,"Online, Telefone",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Solicitação de retirada de galhos caídos de árvores em área pública,Secretaria de Serviços Urbanos e Zeladoria,"Online, Telefone",https://www.mogidascruzes.sp.gov.br/pagina/ouvidoria-geral/colab,Prefeitura,Serviços Urbanos e Zeladoria,Serviço,Colab,Terceirizado,
Liberação de Veículos Removidos pela Polícia por Infração de Trânsito,Secretaria de Mobilidade e Trânsito,Online,http://www.detran.sp.gov.br/wps/portal/portaldetran/cidadao/infracoes/servicos/liberacaoVeiculosApreendidos,Prefeitura,Mobilidade e Trânsito,Serviço,Detran.SP,Terceirizado,
Liberação de Veículos Removidos pela Prefeitura por Infração de Trânsito,Secretaria de Mobilidade e Trânsito,Online,,Prefeitura,Mobilidade e Trânsito,Serviço,E-mail,Próprio,
Liberação de Veículos removidos por Transporte Irregular,Secretaria de Mobilidade e Trânsito,Online,,Prefeitura,Mobilidade e Trânsito,Serviço,E-mail,Próprio,
Emissão de documentos para Certificado de Licenciamento Integrado (Creches),Secretaria de Obras e Infraestrutura,"Online, Presencial",,Prefeitura,Obras e Infraestrutura,Serviço,E-mail,Próprio,
Licenciamento (Distribuição de Água por Caminhões),Secretaria de Saúde e Bem-Estar,"Online, Presencial",expediente.visa@mogidascruzes.sp.gov.br,Prefeitura,Saúde e Bem-Estar,Serviço,E-mail,Próprio,
Licenciamento (Indústria de Alimentos ),Secretaria de Saúde e Bem-Estar,"Online, Presencial",expediente.visa@mogidascruzes.sp.gov.br,Prefeitura,Saúde e Bem-Estar,Serviço,E-mail,Próprio,
Catálogo online da Biblioteca do CEMFORPE,Secretaria de Educação,Online,https://biblioteca.sme-mogidascruzes.sp.gov.br/,Prefeitura,Educação,Serviço,Gnuteca,Próprio,
Família Acolhedora,Secretaria de Assistência Social,"Online, Presencial",https://forms.gle/Ktgs9uiHPdYTGBWFA,Prefeitura,Assistência Social,Serviço,Google Forms,Próprio,
Curso de Liderança para Jovens (Escola de Líderes),Secretaria de Desenvolvimento Econômico e Trabalho,"Presencial, Telefone",,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Google Forms,Próprio,
"Cursos de Formação, Empreendedorismo e Iniciação Profissional do Crescer",Secretaria de Desenvolvimento Econômico e Trabalho,"Presencial, Telefone",,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Google Forms,Próprio,
Mapa de Atrativos Turísticos,Secretaria de Desenvolvimento Econômico e Trabalho,Online,https://www.google.com/maps/d/viewer?mid=1sTRBVXeH92A4Ln5myPk_yFd9iIgYJUU&ll=-23.390651221888266%2C-45.526813812499995&z=7,Prefeitura,Desenvolvimento Econômico e Trabalho,Informação,Google Maps,Próprio,
Investe Mogi: Cadastro de Áreas para Investimento,Secretaria de Desenvolvimento Econômico e Trabalho,Online,https://drti.mogidascruzes.sp.gov.br/smdes_ofertantes/ofertantes/login.php,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Investe Mogi (DRTI),Próprio,
Investe Mogi: Consulta de Áreas para Investimento,Secretaria de Desenvolvimento Econômico e Trabalho,Online,https://drti.mogidascruzes.sp.gov.br/smdes_portal/portal/,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Investe Mogi (DRTI),Próprio,
Informatização da Rede de Serviços de Assistência Social,Secretaria de Assistência Social,Online,http://www.irsas.pmmc.com.br:9080,Prefeitura,Assistência Social,Informação,IRSAS,Terceirizado,
Requerimentos,Secretaria de Gestão e Contratações Públicas,"Online, Presencial",https://mogidascruzes.izeus.com.br/ponto,Prefeitura,Gestão e Contratações Públicas,Serviço,iZeus,Terceirizado,
Editais de Licitação,Secretaria de Gestão e Contratações Públicas,Online,http://licitacao-mgcon.mogidascruzes.sp.gov.br/,Prefeitura,Gestão e Contratações Públicas,Informação,MGCON,Terceirizado,
Cartão de Transporte Coletivo para Idosos (Cartão Conforto),Secretaria de Mobilidade e Trânsito,Online,,Prefeitura,Mobilidade e Trânsito,Serviço,Mogi Passes,Terceirizado,
Cartão de Transporte Coletivo (Vale-Transporte),Secretaria de Mobilidade e Trânsito,"Online, Presencial",http://www.mogipasses.com.br/cartoes_vt.asp,Prefeitura,Mobilidade e Trânsito,Serviço,Mogi Passes,Terceirizado,
Cartão de Transporte Coletivo Escolar,Secretaria de Mobilidade e Trânsito,"Online, Presencial",http://www.mogipasses.com.br/cartoes_escolar.asp,Prefeitura,Mobilidade e Trânsito,Serviço,Mogi Passes,Terceirizado,
Atividades físicas para idosos,Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Aulas de Iniciação Esportiva em Basquete,Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Aulas de Iniciação Esportiva em Beach Tennis,Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Aulas de Iniciação Esportiva em Ginástica (condicionamento físico),Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Aulas de Iniciação Esportiva em Ritmos (dança),Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Aulas de Iniciação Esportiva em Voleibol,Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Inscrição de projetos pela Lei de Incentivo ao Desporto,Secretaria de Esportes e Lazer,Online,https://mogidascruzes.digital.esp.br/,Prefeitura,Esportes e Lazer,Serviço,Placarsoft,Terceirizado,
Cadastro de Artistas e Profissionais de Arte e Cultura,Secretaria de Cultura,Online,http://www3.cultura.pmmc.com.br/cadastro/artista,Prefeitura,Cultura,Serviço,Portal Cultura (DRTI),Próprio,
LIC - Lei de Incentivo Fiscal para Projetos Culturais,Secretaria de Cultura,Online,http://www3.cultura.pmmc.com.br/lic/,Prefeitura,Cultura,Serviço,Portal Cultura (DRTI),Próprio,
Cessão de Uso do Auditório do CEMFORPE,Secretaria de Educação,"Online, Presencial",,Prefeitura,Educação,Serviço,Portal Educação (DRTI),Próprio,
Vagas em Creche,Secretaria de Educação,"Online, Presencial",https://portal.sme-mogidascruzes.sp.gov.br/conteudo/cmu,Prefeitura,Educação,Serviço,Portal Educação (DRTI),Próprio,
Vagas em Pré-Escola,Secretaria de Educação,"Online, Presencial",https://portal.sme-mogidascruzes.sp.gov.br/conteudo/cmu,Prefeitura,Educação,Serviço,Portal Educação (DRTI),Próprio,
Vagas na Educação de Jovens e Adultos (EJA),Secretaria de Educação,"Online, Presencial",https://portal.sme-mogidascruzes.sp.gov.br/conteudo/inscricoes-abertas,Prefeitura,Educação,Serviço,Portal Educação (DRTI),Próprio,
Cursos de Capacitação para Servidores,Secretaria de Gestão e Contratações Públicas,"Online, Presencial",http://eggead.mogidascruzes.sp.gov.br/,Prefeitura,Gestão e Contratações Públicas,Serviço,Portal Escola Governo (DRTI),Próprio,
"Via Rápida Empresa (VRE-REDESIM) - Abertura, Alteração e Encerramento da Empresa",Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://vreredesim.sp.gov.br/,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Portal Governo Estadual SP,Estadual,
Auxílio Brasil: Divulgação das Listas de Beneficiários do Programa,Secretaria de Assistência Social,"Online, Presencial",http://www.portaltransparencia.gov.br/beneficios/bolsa-familia?ordenarPor=beneficiario&direcao=asc,Prefeitura,Assistência Social,Informação,Portal Governo Federal,Federal,
Carteira de Trabalho Digital,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://servicos.mte.gov.br/,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Portal Governo Federal,Federal,
Microempreendedor Individual (MEI) - Formalização,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://www.gov.br/empresas-e-negocios/pt-br/empreendedor,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Portal Governo Federal,Federal,
Seguro-Desemprego,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://servicos.mte.gov.br/,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Portal Governo Federal,Federal,
Apresentação do Relatório Mensal de Solução Alternativa,Secretaria de Saúde e Bem-Estar,Online,http://sisagua.saude.gov.br/sisagua/login.jsf,Prefeitura,Saúde e Bem-Estar,Informação,Portal Governo Federal,Federal,
Cadastro Municipal de Habitação,Secretaria de Habitação Social e Regularização Fundiária,Online,https://habitacao.mogidascruzes.sp.gov.br/,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Portal Habitação (DRTI),Próprio,
Multas de Trânsito: Consulta de Multas,Secretaria de Mobilidade e Trânsito,Online,https://mogidascruzes.consultacidadao.com.br/,Prefeitura,Mobilidade e Trânsito,Informação,Portal Mobilidade (DRTI),Próprio,
Pontos de Fiscalização (Radares de Trânsito),Secretaria de Mobilidade e Trânsito,Online,https://mobilidadeservicos.mogidascruzes.sp.gov.br/site/radares,Prefeitura,Mobilidade e Trânsito,Informação,Portal Mobilidade (DRTI),Próprio,
"Transporte Coletivo: Linhas, Itinerários e Horários de Ônibus",Secretaria de Mobilidade e Trânsito,Online,https://mobilidade.mogidascruzes.sp.gov.br/transportes,Prefeitura,Mobilidade e Trânsito,Informação,Portal Mobilidade (DRTI),Próprio,
PROCON: Cadastro Estadual de Reclamações,Procon,Online,,Prefeitura,Gabinete da Prefeita,Informação,Portal Prefeitura,Próprio,
Feiras Livres e Varejões,Secretaria de Agricultura e Segurança Alimentar,"Presencial, Telefone, Whatsapp",,Prefeitura,Agricultura e Segurança Alimentar,Informação,Portal Prefeitura,Próprio,
Construção Civil: Consulta Tabela de Padrões do ISS sobre a Construção Civil,Secretaria de Finanças,Online,,Prefeitura,Finanças,Informação,Portal Prefeitura,Próprio,
Webmail,Secretaria de Gestão e Contratações Públicas,Online,https://www.mogidascruzes.sp.gov.br/webmail/index.php,Prefeitura,Gestão e Contratações Públicas,Informação,Portal Prefeitura,Próprio,
Concursos Públicos e Processos Seletivos Municipais,Secretaria de Gestão e Contratações Públicas,"Online, Presencial",https://dadosabertos.mogidascruzes.sp.gov.br/gestao-de-pessoas/concurso-publico,Prefeitura,Gestão e Contratações Públicas,Informação,Portal Prefeitura,Próprio,
Leis Municipais,Secretaria de Governo e Transparência,Online,https://leismunicipais.com.br/prefeitura/sp/mogi-das-cruzes,Prefeitura,Governo e Transparência,Informação,Portal Prefeitura,Próprio,
Transporte Escolar: Informações e Dúvidas,Secretaria de Mobilidade e Trânsito,Whatsapp,,Prefeitura,Mobilidade e Trânsito,Informação,Portal Prefeitura,Próprio,Retirar link
Guia de Serviços de Saúde Animal,Secretaria de Saúde e Bem-Estar,Online,,Prefeitura,Saúde e Bem-Estar,Informação,Portal Prefeitura,Próprio,
Coleta Seletiva,Secretaria de Serviços Urbanos e Zeladoria,Online,,Prefeitura,Serviços Urbanos e Zeladoria,Informação,Portal Prefeitura,Próprio,
Operação Cata Tranqueira,Secretaria de Serviços Urbanos e Zeladoria,Online,,Prefeitura,Serviços Urbanos e Zeladoria,Informação,Portal Prefeitura,Próprio,
Tabela de Valores de Serviços 2025,Serviço Municipal de Águas e Esgotos,Online,,SEMAE,SEMAE,Informação,Portal Prefeitura,Próprio,
Tarifas de Água e Esgoto,Serviço Municipal de Águas e Esgotos,Online,,SEMAE,SEMAE,Informação,Portal Prefeitura,Próprio,
PROCON: Certidão de Objeto e Pé,Procon,Presencial,,Prefeitura,Gabinete da Prefeita,Serviço,Presencial,Não tem (Presencial),
PROCON: Certidão Negativa de Violação de Direitos do Consumidor,Procon,Presencial,,Prefeitura,Gabinete da Prefeita,Serviço,Presencial,Não tem (Presencial),
PROCON: Desarquivamento de Processos,Procon,Presencial,,Prefeitura,Gabinete da Prefeita,Serviço,Presencial,Não tem (Presencial),
PROCON: Desbloqueio de Nota Fiscal Paulista,Procon,Presencial,,Prefeitura,Gabinete da Prefeita,Serviço,Presencial,Não tem (Presencial),
Baixa de Permissão de uso dos espaços no Mercado do Produtor,Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Licença de Feirante e Varejista,Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Licença de Feirante e Varejista (Cancelamento),Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Licença de Feirante e Varejista (Renovação),Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Requerimento para Inclusão de Auxiliar - Feiras e Varejões,Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Serviço de Inspeção Municipal (SIM),Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Subvenção Municipal do Seguro Rural,Secretaria de Agricultura e Segurança Alimentar,Presencial,,Prefeitura,Agricultura e Segurança Alimentar,Serviço,Presencial,Não tem (Presencial),
Acolhimento para Idosos,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Acolhimento para Pessoas em Situação de Rua,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Auxílio Brasil: Cadastramento,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Auxílio Brasil: Pedido de Reversão do Cancelamento,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
"Auxílio Brasil: Recadastramento, Transferência e Atualização",Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Auxílio Brasil: Recurso de Descumprimento de Condicionalidades,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Auxílio Funeral,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Benefício de Prestação Continuada,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Cadastro Único para Programas Sociais do Governo Federal,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Casa Abrigo para Mulheres em Situação de Violência Doméstica,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Convivência e Fortalecimento de Vínculos: Adultos,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Convivência e Fortalecimento de Vínculos: Crianças e Adolescentes,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Convivência e Fortalecimento de Vínculos: Idosos,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Denúncia de Situações que Ameacem ou Violem os Direitos de Crianças e Adolescentes,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Orientações e Encaminhamentos para Pessoas com Deficiência,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Informação,Presencial,Não tem (Presencial),
Proteção e Atendimento Especializado a Famílias e Indivíduos,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Proteção e Atendimento Integral à Família,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Segurança Alimentar: Refeições e Educação Alimentar e Nutricional,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Serviço Especializado para Pessoa em Situação de Rua,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Transporte para Fisioterapia,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Visitas Domiciliares para Idosos em Situação de Vulnerabilidade Social,Secretaria de Assistência Social,Presencial,,Prefeitura,Assistência Social,Serviço,Presencial,Não tem (Presencial),
Aprovação de Projetos (COMPHAP),Secretaria de Cultura,Presencial,,Prefeitura,Cultura,Serviço,Presencial,Não tem (Presencial),
Desoneração de Áreas Doadas,Secretaria de Desenvolvimento Econômico e Trabalho,Presencial,,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Presencial,Não tem (Presencial),
Programa Mogiano de Atração de Investimentos e Geração de Empregos - PROMAE,Secretaria de Desenvolvimento Econômico e Trabalho,Presencial,,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Presencial,Não tem (Presencial),
Banco do Povo Paulista - Programa de Microcrédito Produtivo,Secretaria de Desenvolvimento Econômico e Trabalho,"Presencial, Telefone, Whatsapp",,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,Presencial,Não tem (Presencial),
Acesso ao acervo da biblioteca do CEMFORPE,Secretaria de Educação,Presencial,,Prefeitura,Educação,Informação,Presencial,Não tem (Presencial),
Cadastro CCM: Licença para Comércio Eventual,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
Contribuição para Custeio de Iluminação Pública (CIP): Revisão de Lançamento,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
Devolução de Caução,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Atualização Cadastral como Compromissário,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Atualização Cadastral como Possuidor,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Atualização Cadastral como Proprietário,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Atualização de Endereço de Correspondência,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Baixa de Pagamentos,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Cadastramento como Possuidor,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Cadastramento de Imóveis,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Cadastramento por Usucapião,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Ano de Incidência,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Cadastramento,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Confrontantes,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Demolição de Prédio,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Denominação de Logradouro,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
